country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,11.987,12.138,6.633,1.925,0.052
UGA,22.63,28.031,1.674,0.127,0.076
PHL,68.089,76.336,4.004,0.258,0.056
COD,17.07,20.407,4.876,0.033,0.035
BRA,6.489,6.674,1.704,0.644,0.031
EST,16.421,16.035,10.248,2.559,0.163
NZL,0.072,0.065,0.051,0.015,0.001
BGD,46.6,51.913,11.623,0.838,0.114
MDG,5.686,6.768,1.243,0.106,0.01
DZA,38.185,38.16,5.548,0.915,0.059
NGA,15.194,18.071,11.904,0.568,0.111
TWN,26.927,29.557,4.394,1.691,0.051
CMR,34.322,41.101,13.218,0.436,0.12
JPN,7.709,8.558,6.377,1.091,0.021
MAR,23.687,23.541,6.318,1.838,0.107
RWA,0.848,1.075,5.538,0.769,0.189
BEL,25.755,24.61,12.158,1.127,0.077
ITA,12.521,11.807,10.51,4.148,0.096
IRL,28.467,26.703,22.084,2.407,0.241
TJK,7.16,10.344,4.098,0.635,0.175
PRT,23.246,23.366,6.101,1.06,0.035
USA,0.2,0.175,0.376,0.152,0.016
IND,28.756,39.917,16.819,1.05,0.089
ESP,18.824,18.322,2.011,0.518,0.01
LBY,86.41,92.746,18.995,1.559,0.456
MYS,0.17,0.167,0.134,0.02,0.001
HRV,8.938,8.58,6.173,1.775,0.052
GEO,5.691,5.414,4.911,4.005,0.742
DOM,37.272,37.863,10.65,2.691,0.118
CZE,13.02,12.696,6.819,2.622,0.078
VEN,60.155,61.446,26.145,4.745,0.308
NPL,13.333,12.927,11.772,2.022,0.089
MEX,77.607,79.651,15.794,3.715,0.171
CHE,8.58,8.459,7.128,1.761,0.117
JOR,28.894,31.113,5.93,1.011,0.101
IRQ,45.558,48.661,38.612,0.515,0.104
IDN,26.612,38.634,18.818,0.457,0.082
BEN,21.697,24.773,6.539,0.323,0.048
TCD,8.835,10.828,5.136,0.24,0.037
BTN,45.05,51.177,4.607,0.402,0.051
KAZ,16.528,22.632,32.195,3.745,0.482
DNK,0.092,0.09,0.081,0.023,0.001
GHA,,70.244,15.991,0.881,0.163
GAB,27.62,32.879,5.196,1.958,1.141
PNG,32.256,32.118,24.924,2.06,0.151
SAU,5.887,6.22,0.56,0.052,0.005
KEN,26.186,30.474,6.54,0.451,0.153
YEM,5.663,6.098,6.068,0.089,0.034
IRN,6.306,7.23,1.707,0.517,0.02
QAT,140.877,150.974,145.317,1.744,0.407
KOR,0.975,1.12,0.435,0.139,0.003
RUS,6.177,5.821,3.54,2.238,0.108
EGY,19.395,18.773,8.441,1.281,0.093
SVK,0.509,0.515,0.332,0.137,0.004
SLV,9.839,10.054,2.569,0.528,0.072
UKR,3.021,2.516,1.971,1.31,0.268
DEU,15.205,14.28,10.646,3.177,0.08
POL,0.152,0.142,0.126,0.082,0.003
KHM,56.13,56.522,14.003,0.543,0.153
ARG,123.273,125.389,6.101,0.64,0.111
COL,27.138,25.966,9.333,2.554,0.072
MLT,0.756,0.748,0.517,0.083,0.005
THA,42.104,55.274,3.578,1.494,0.081
PAK,2.14,4.112,2.215,0.272,0.122
ARE,77.949,83.297,83.116,0.856,0.31
BFA,15.92,18.418,11.194,0.178,0.095
LUX,46.383,45.293,37.518,13.264,0.425
SYR,29.194,31.401,8.311,0.168,0.158
PAN,4.642,4.741,0.612,0.101,0.015
GBR,0.065,0.057,0.049,0.01,0.001
ARM,3.356,2.86,1.898,0.534,0.015
UZB,34.886,41.993,6.35,0.249,0.091
LBN,2.178,2.436,1.279,0.232,0.014
AUT,9.803,9.274,6.479,0.915,0.049
CUB,0.945,0.957,1.581,0.898,0.058
VNM,30.001,31.218,21.526,3.776,0.146
ZAF,35.86,41.232,4.002,0.465,0.093
PER,12.695,12.518,2.834,0.208,0.025
FIN,2.511,2.493,2.229,0.24,0.015
AFG,1.135,1.321,1.044,0.098,0.009
CHL,0.023,0.024,0.013,0.003,0.0
SDN,42.732,45.294,45.25,0.604,0.251
TZA,0.125,0.295,0.172,0.007,0.002
MDA,53.336,57.583,29.344,5.404,0.374
FRA,4.667,4.483,3.318,0.937,0.027
AZE,23.413,23.154,20.568,6.864,0.301
KGZ,5.775,7.831,2.772,0.563,0.328
SVN,0.244,0.241,0.226,0.065,0.002
GMB,9.077,11.004,7.807,0.185,0.081
GRC,34.608,33.688,9.831,1.619,0.07
MNG,43.389,47.298,4.748,1.162,0.57
NLD,45.14,45.008,6.078,0.809,0.039
LTU,22.857,22.7,1.125,0.428,0.04
ISR,28.827,30.768,3.229,0.996,0.174
LVA,10.397,10.162,4.479,1.975,0.065
TUR,23.235,25.182,4.919,1.364,0.087
OMN,11.893,12.82,12.815,0.315,0.056
FJI,0.267,0.214,0.114,0.028,0.001
ETH,8.203,9.257,5.857,0.267,0.073
ECU,25.548,26.095,9.11,0.518,0.095
CAF,4.931,6.033,4.519,0.176,0.069
AUS,0.192,0.175,0.187,0.047,0.006
NOR,2.364,2.348,1.74,0.143,0.012
CHN,6.813,7.872,3.254,0.852,0.022
HUN,18.375,17.824,5.639,0.664,0.062
BHR,38.78,41.344,9.991,0.655,0.102
BDI,0.024,0.035,0.034,0.079,0.073
PRI,19.693,19.069,11.271,6.049,0.161
VUT,38.326,38.25,30.884,0.766,0.165
CAN,1.813,1.748,1.595,0.33,0.036
MOZ,6.714,7.816,4.609,0.075,0.031
ISL,1.517,1.506,1.348,0.101,0.007
TUN,48.761,52.424,5.742,1.633,0.111
ALB,43.186,43.006,26.78,7.49,0.26
BGR,12.83,12.83,6.869,1.505,0.048
SWE,31.079,30.978,15.492,1.021,0.125
