country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,15.907,17.865,7.252,3.188,0.107
UGA,25.151,38.614,1.934,0.357,0.142
PHL,77.738,102.743,4.644,0.778,0.112
COD,18.748,29.213,4.797,0.062,0.056
BRA,7.534,9.367,1.239,0.736,0.039
EST,22.274,22.789,9.944,3.917,0.281
NZL,0.093,0.101,0.052,0.022,0.001
BGD,55.658,72.298,12.3,2.479,0.212
MDG,7.164,10.632,1.649,0.304,0.025
DZA,45.18,51.473,5.606,1.929,0.117
NGA,17.927,27.139,12.793,1.501,0.199
TWN,33.346,38.368,5.439,3.284,0.112
CMR,40.417,62.544,12.309,1.075,0.188
JPN,10.757,12.136,6.839,1.861,0.037
MAR,27.427,31.559,4.714,2.501,0.164
RWA,1.324,2.23,4.525,1.357,0.25
BEL,30.779,29.708,7.376,1.538,0.104
ITA,17.488,15.336,10.567,5.235,0.14
IRL,34.929,32.397,19.526,3.973,0.329
TJK,9.512,16.027,5.123,1.521,0.308
PRT,28.806,32.436,6.521,2.2,0.068
USA,0.301,0.324,0.601,0.302,0.03
IND,34.411,57.911,17.616,3.098,0.165
ESP,23.137,23.997,1.549,0.702,0.018
LBY,99.737,130.71,19.211,4.332,0.771
MYS,0.224,0.294,0.14,0.03,0.002
HRV,10.804,10.833,5.071,2.232,0.072
GEO,8.092,6.792,5.162,4.383,1.031
DOM,48.958,56.269,12.754,4.811,0.237
CZE,17.642,16.677,6.087,3.322,0.126
VEN,71.102,88.181,25.22,9.517,0.544
NPL,16.619,17.205,13.346,3.175,0.148
MEX,94.607,117.517,17.201,7.197,0.353
CHE,10.01,12.218,7.563,2.809,0.189
JOR,32.216,42.91,5.166,2.044,0.161
IRQ,46.394,60.198,39.61,0.988,0.169
IDN,32.578,56.94,21.301,1.513,0.159
BEN,25.292,33.956,8.081,1.044,0.102
TCD,9.866,15.719,5.102,0.611,0.068
BTN,58.321,80.181,4.948,1.13,0.115
KAZ,23.964,38.426,28.482,7.106,0.711
DNK,0.118,0.122,0.082,0.031,0.001
GHA,,76.359,17.952,2.844,0.305
GAB,33.43,49.027,5.754,3.654,1.863
PNG,39.757,44.352,26.797,4.454,0.286
SAU,7.368,8.019,0.465,0.082,0.007
KEN,30.143,43.485,6.918,1.312,0.291
YEM,6.304,10.075,9.924,0.199,0.057
IRN,8.478,10.246,1.607,0.804,0.036
QAT,149.929,195.782,177.506,3.563,0.67
KOR,1.212,1.435,0.275,0.151,0.003
RUS,8.494,7.52,3.049,2.289,0.161
EGY,21.475,22.708,5.546,1.817,0.133
SVK,0.678,0.66,0.268,0.152,0.006
SLV,11.786,14.609,1.531,0.624,0.078
UKR,4.397,2.569,1.623,1.33,0.412
DEU,18.787,16.565,8.023,3.354,0.1
POL,0.208,0.15,0.111,0.079,0.004
KHM,63.305,75.524,15.655,1.737,0.286
ARG,140.168,166.092,7.658,1.91,0.222
COL,34.359,33.522,7.149,2.888,0.099
MLT,0.95,1.04,0.503,0.133,0.007
THA,51.587,80.631,3.964,2.624,0.153
PAK,2.77,5.724,2.497,0.633,0.203
ARE,81.303,104.054,103.451,1.871,0.514
BFA,17.816,25.244,11.537,0.477,0.171
LUX,61.771,62.638,40.647,19.282,0.712
SYR,32.418,44.495,5.316,0.323,0.261
PAN,5.394,6.556,0.443,0.17,0.023
GBR,0.083,0.089,0.059,0.017,0.001
ARM,4.721,3.104,1.455,0.573,0.019
UZB,43.623,53.76,7.423,0.79,0.189
LBN,2.537,3.558,1.051,0.382,0.02
AUT,12.446,10.175,4.537,1.064,0.057
CUB,1.325,1.582,1.217,0.921,0.067
VNM,38.388,47.066,24.036,7.438,0.272
ZAF,44.678,59.86,4.946,1.352,0.206
PER,15.955,16.963,2.136,0.328,0.033
FIN,3.315,3.141,2.211,0.363,0.02
AFG,1.488,2.016,1.09,0.183,0.014
CHL,0.028,0.036,0.011,0.005,0.0
SDN,45.279,57.453,57.296,1.159,0.412
TZA,0.164,0.406,0.184,0.021,0.005
MDA,62.358,89.991,31.106,12.851,0.669
FRA,5.959,4.924,2.509,0.995,0.033
AZE,32.432,34.271,20.284,10.072,0.475
KGZ,7.835,11.334,3.169,1.173,0.551
SVN,0.32,0.355,0.258,0.097,0.002
GMB,10.51,19.675,8.967,0.544,0.147
GRC,39.52,40.418,9.925,3.649,0.117
MNG,50.631,60.765,6.12,2.615,0.967
NLD,52.237,59.083,4.111,1.41,0.068
LTU,27.205,29.451,1.518,0.956,0.082
ISR,31.986,41.553,2.837,1.731,0.293
LVA,13.928,14.104,3.539,2.285,0.109
TUR,25.875,34.413,4.082,2.157,0.126
OMN,13.0,17.336,17.316,0.635,0.088
FJI,0.341,0.226,0.072,0.027,0.001
ETH,10.008,14.3,5.386,0.611,0.111
ECU,26.81,34.232,5.985,1.045,0.154
CAF,5.543,9.066,4.926,0.414,0.113
AUS,0.255,0.267,0.259,0.092,0.009
NOR,2.912,2.938,1.333,0.217,0.015
CHN,8.494,10.577,2.364,1.051,0.027
HUN,23.382,24.755,4.124,1.184,0.09
BHR,40.673,50.687,8.663,1.721,0.179
BDI,0.04,0.08,0.055,0.134,0.117
PRI,26.585,26.004,10.879,7.398,0.275
VUT,47.713,54.052,33.859,2.056,0.327
CAN,2.15,2.484,1.71,0.555,0.055
MOZ,8.418,11.942,5.656,0.259,0.071
ISL,1.998,1.856,1.335,0.153,0.01
TUN,58.162,75.952,5.466,2.988,0.208
