country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,2.45,2.708,1.072,0.477,0.014
UGA,4.577,7.006,0.335,0.044,0.017
PHL,14.369,19.016,0.777,0.108,0.015
COD,3.444,5.352,0.943,0.007,0.007
BRA,1.397,1.747,0.224,0.132,0.006
EST,3.38,3.428,1.524,0.564,0.039
NZL,0.015,0.016,0.009,0.003,0.0
BGD,9.67,12.568,2.156,0.401,0.028
MDG,1.143,1.685,0.237,0.043,0.003
DZA,8.127,9.256,0.936,0.315,0.016
NGA,3.092,4.668,2.21,0.236,0.026
TWN,5.551,6.341,0.79,0.479,0.014
CMR,7.03,10.796,2.049,0.158,0.028
JPN,1.591,1.814,0.982,0.281,0.005
MAR,5.121,5.913,0.873,0.451,0.026
RWA,0.172,0.282,0.739,0.202,0.037
BEL,5.468,5.286,1.34,0.242,0.016
ITA,2.626,2.31,1.574,0.814,0.02
IRL,6.235,5.816,3.601,0.638,0.052
TJK,1.472,2.445,0.742,0.212,0.039
PRT,4.784,5.353,0.986,0.336,0.009
USA,0.043,0.047,0.094,0.047,0.005
IND,5.984,10.063,3.111,0.514,0.023
ESP,3.909,4.053,0.25,0.113,0.003
LBY,18.454,24.192,3.557,0.636,0.109
MYS,0.037,0.049,0.022,0.005,0.0
HRV,1.834,1.849,0.866,0.376,0.011
GEO,1.211,1.017,0.766,0.651,0.145
DOM,8.019,9.173,1.803,0.726,0.033
CZE,2.685,2.55,0.927,0.511,0.018
VEN,13.665,16.972,4.761,1.739,0.086
NPL,2.757,2.855,2.197,0.521,0.021
MEX,17.048,21.158,2.796,1.175,0.051
CHE,1.868,2.289,1.41,0.495,0.029
JOR,6.474,8.635,1.021,0.384,0.027
IRQ,9.741,12.631,8.15,0.176,0.024
IDN,5.497,9.562,3.488,0.209,0.022
BEN,4.41,5.883,1.276,0.158,0.013
TCD,1.785,2.835,0.898,0.102,0.01
BTN,9.469,12.973,0.763,0.148,0.014
KAZ,3.578,5.612,4.821,1.152,0.11
DNK,0.02,0.021,0.014,0.005,0.0
GHA,,14.047,3.182,0.463,0.04
GAB,5.977,8.763,0.952,0.519,0.251
PNG,6.778,7.53,4.471,0.717,0.039
SAU,1.213,1.348,0.069,0.012,0.001
KEN,5.378,7.756,1.194,0.183,0.038
YEM,1.15,1.861,1.833,0.03,0.007
IRN,1.328,1.626,0.248,0.124,0.005
QAT,29.669,38.658,35.048,0.63,0.088
KOR,0.201,0.244,0.047,0.026,0.0
RUS,1.252,1.108,0.458,0.346,0.023
EGY,4.171,4.406,1.075,0.334,0.021
SVK,0.104,0.103,0.043,0.024,0.001
SLV,2.046,2.531,0.257,0.095,0.012
UKR,0.629,0.368,0.235,0.185,0.054
DEU,3.203,2.842,1.4,0.584,0.016
POL,0.031,0.023,0.017,0.012,0.001
KHM,11.524,13.738,2.686,0.238,0.038
