country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ARG,27.262,32.311,1.327,0.287,0.031
COL,5.712,5.565,1.125,0.476,0.015
MLT,0.157,0.174,0.079,0.019,0.001
THA,8.818,13.779,0.652,0.425,0.021
PAK,0.438,0.904,0.39,0.087,0.026
ARE,16.173,20.662,20.542,0.278,0.067
BFA,3.239,4.576,2.065,0.059,0.021
LUX,10.449,10.616,6.671,3.242,0.109
SYR,6.001,8.221,0.97,0.035,0.033
PAN,0.945,1.153,0.076,0.026,0.003
GBR,0.014,0.015,0.01,0.003,0.0
ARM,0.715,0.475,0.227,0.091,0.003
UZB,7.301,8.888,1.166,0.096,0.022
LBN,0.466,0.659,0.194,0.069,0.003
AUT,2.071,1.704,0.761,0.166,0.009
CUB,0.204,0.243,0.219,0.164,0.011
VNM,6.307,7.709,3.72,1.2,0.04
ZAF,7.649,10.194,0.764,0.179,0.026
PER,2.665,2.842,0.332,0.046,0.005
FIN,0.53,0.511,0.351,0.054,0.003
AFG,0.229,0.314,0.17,0.029,0.002
CHL,0.005,0.006,0.002,0.001,0.0
SDN,9.084,11.507,11.476,0.178,0.055
TZA,0.025,0.063,0.028,0.003,0.001
MDA,11.114,15.914,5.365,2.152,0.094
FRA,0.98,0.817,0.413,0.167,0.005
AZE,4.926,5.167,3.185,1.612,0.069
KGZ,1.186,1.725,0.455,0.132,0.069
SVN,0.05,0.057,0.041,0.016,0.0
GMB,1.847,3.562,1.644,0.074,0.02
GRC,7.124,7.283,1.722,0.618,0.017
MNG,9.061,10.862,0.965,0.334,0.123
NLD,9.545,10.804,0.746,0.243,0.01
LTU,4.698,5.03,0.232,0.142,0.01
ISR,6.044,7.895,0.515,0.295,0.041
LVA,2.127,2.158,0.561,0.359,0.015
TUR,5.175,6.899,0.799,0.41,0.021
OMN,2.424,3.177,3.173,0.104,0.012
FJI,0.056,0.037,0.012,0.004,0.0
ETH,1.668,2.389,0.915,0.087,0.016
ECU,5.349,6.847,1.157,0.161,0.023
CAF,0.992,1.611,0.875,0.063,0.015
AUS,0.041,0.043,0.044,0.014,0.001
NOR,0.511,0.523,0.238,0.034,0.002
CHN,1.481,1.881,0.412,0.184,0.004
HUN,3.757,3.988,0.709,0.177,0.013
BHR,7.944,9.918,1.613,0.268,0.025
BDI,0.005,0.009,0.007,0.014,0.014
PRI,4.156,4.042,1.666,1.149,0.04
VUT,8.086,9.125,5.544,0.292,0.043
CAN,0.381,0.442,0.302,0.085,0.008
MOZ,1.352,1.9,0.858,0.031,0.008
ISL,0.323,0.305,0.214,0.023,0.001
TUN,10.624,13.884,0.975,0.516,0.03
ALB,9.224,10.253,4.647,2.169,0.072
BGR,2.61,2.853,1.039,0.41,0.012
SWE,6.551,7.517,2.324,0.335,0.031
