country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,17.79,19.606,7.937,3.58,0.107
UGA,32.823,50.159,2.428,0.318,0.126
PHL,97.744,128.18,5.455,0.761,0.103
COD,23.832,37.112,5.133,0.045,0.047
BRA,8.549,10.577,1.293,0.763,0.036
EST,22.944,22.912,10.295,3.871,0.271
NZL,0.098,0.106,0.057,0.023,0.001
BGD,71.455,92.474,14.981,2.787,0.19
MDG,8.328,12.246,1.701,0.312,0.022
DZA,54.853,62.368,6.209,2.09,0.108
NGA,21.708,32.881,15.091,1.617,0.174
TWN,42.794,48.578,5.991,3.635,0.108
CMR,57.413,89.277,12.686,0.986,0.17
JPN,10.753,12.116,6.408,1.838,0.033
MAR,31.042,35.634,5.053,2.608,0.144
RWA,1.156,1.898,4.475,1.22,0.222
BEL,35.437,34.006,8.307,1.5,0.098
ITA,17.048,14.743,9.838,5.112,0.127
IRL,38.503,35.48,20.983,3.717,0.294
TJK,10.159,16.867,4.927,1.42,0.267
PRT,38.035,43.094,7.423,2.536,0.068
USA,0.266,0.287,0.551,0.277,0.028
IND,39.476,66.306,19.652,3.26,0.143
ESP,27.357,28.397,1.766,0.801,0.018
LBY,124.379,162.746,22.52,4.022,0.667
MYS,0.228,0.301,0.136,0.028,0.002
HRV,12.458,12.404,5.522,2.409,0.066
GEO,7.402,6.188,4.639,3.96,0.922
DOM,52.247,59.254,11.531,4.658,0.21
CZE,17.889,16.594,5.989,3.312,0.113
VEN,86.944,107.572,28.686,10.512,0.503
NPL,18.708,19.342,14.659,3.56,0.143
MEX,111.012,137.833,17.9,7.544,0.324
CHE,11.818,14.413,8.949,3.134,0.166
JOR,38.771,51.628,5.872,2.207,0.142
IRQ,49.266,63.92,42.499,0.945,0.143
IDN,36.937,64.068,22.37,1.355,0.14
BEN,35.251,47.252,10.335,1.279,0.105
TCD,11.34,18.068,5.741,0.656,0.062
BTN,65.445,89.479,5.275,1.023,0.098
KAZ,22.885,35.816,28.305,6.793,0.642
DNK,0.126,0.132,0.086,0.033,0.001
GHA,,91.022,21.375,3.12,0.27
GAB,37.933,55.247,5.822,3.24,1.622
PNG,46.903,52.348,30.176,4.923,0.266
SAU,7.96,8.659,0.423,0.073,0.006
KEN,37.915,54.042,8.295,1.274,0.259
YEM,7.969,12.159,11.98,0.2,0.049
IRN,8.364,10.075,1.525,0.762,0.031
QAT,173.856,227.432,206.208,3.741,0.564
KOR,1.375,1.642,0.307,0.167,0.003
RUS,8.505,7.366,3.039,2.304,0.151
EGY,25.333,26.719,6.316,1.958,0.118
SVK,0.697,0.682,0.278,0.159,0.005
SLV,13.824,17.085,1.605,0.592,0.072
UKR,4.001,2.323,1.484,1.182,0.365
DEU,20.198,17.642,8.463,3.539,0.093
POL,0.206,0.15,0.111,0.08,0.004
KHM,83.484,99.647,18.79,1.67,0.264
ARG,191.695,227.127,9.456,2.043,0.22
COL,37.419,36.244,7.035,2.988,0.094
MLT,1.029,1.127,0.497,0.122,0.007
THA,61.511,96.777,4.361,2.845,0.139
PAK,2.963,6.041,2.584,0.58,0.176
ARE,90.174,115.555,114.885,1.603,0.427
BFA,21.716,30.739,13.939,0.406,0.146
LUX,65.401,65.734,40.327,19.755,0.659
SYR,41.789,57.189,6.813,0.245,0.231
PAN,6.575,7.975,0.491,0.164,0.02
GBR,0.087,0.093,0.06,0.016,0.001
ARM,4.5,2.972,1.415,0.569,0.017
UZB,56.367,68.212,8.897,0.731,0.168
LBN,2.846,3.973,1.128,0.397,0.018
AUT,13.177,10.697,4.671,1.017,0.053
CUB,1.271,1.511,1.283,0.963,0.061
VNM,42.59,52.014,23.849,7.788,0.255
ZAF,54.014,71.695,5.323,1.249,0.181
PER,17.44,18.452,2.078,0.287,0.03
FIN,3.395,3.241,2.195,0.337,0.019
AFG,1.497,2.02,1.065,0.18,0.012
CHL,0.032,0.042,0.012,0.005,0.0
SDN,52.736,66.819,66.635,1.068,0.346
TZA,0.169,0.417,0.185,0.017,0.004
MDA,95.829,144.35,36.863,14.888,0.661
FRA,6.299,5.2,2.561,1.034,0.031
AZE,32.368,33.731,19.894,10.135,0.431
KGZ,7.956,11.422,2.963,0.887,0.468
SVN,0.33,0.37,0.26,0.101,0.002
GMB,13.103,23.597,10.319,0.471,0.126
GRC,55.686,57.32,11.451,4.128,0.111
MNG,72.781,88.401,7.833,2.553,0.871
NLD,65.993,74.954,5.123,1.667,0.064
LTU,40.736,44.421,2.05,1.253,0.088
ISR,41.14,53.521,3.36,1.929,0.263
LVA,14.587,14.526,3.765,2.414,0.102
TUR,30.835,40.863,4.477,2.293,0.111
OMN,15.967,21.049,21.025,0.688,0.075
FJI,0.36,0.241,0.075,0.028,0.001
ETH,10.99,15.641,5.601,0.534,0.096
ECU,29.675,37.653,6.844,0.959,0.135
CAF,6.719,10.911,5.917,0.422,0.098
AUS,0.256,0.268,0.273,0.088,0.009
NOR,3.188,3.218,1.418,0.201,0.014
CHN,9.089,11.336,2.396,1.071,0.025
HUN,25.481,26.791,4.541,1.135,0.082
BHR,46.913,58.336,10.225,1.705,0.159
BDI,0.032,0.06,0.047,0.101,0.102
PRI,27.209,26.018,10.634,7.367,0.254
VUT,57.968,65.721,37.991,2.039,0.302
CAN,2.415,2.788,1.897,0.533,0.05
MOZ,10.189,14.389,6.295,0.232,0.062
ISL,2.032,1.9,1.317,0.139,0.009
TUN,70.099,91.88,6.284,3.327,0.192
ALB,59.881,66.295,29.145,13.724,0.452
BGR,19.696,21.704,7.654,3.047,0.088
SWE,45.06,51.909,15.508,2.239,0.195
