country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,2.044,2.258,0.894,0.398,0.012
UGA,3.816,5.841,0.279,0.037,0.014
PHL,12.002,15.883,0.649,0.091,0.012
COD,2.871,4.461,0.786,0.006,0.006
BRA,1.168,1.46,0.187,0.11,0.005
EST,2.82,2.86,1.272,0.471,0.033
NZL,0.013,0.014,0.007,0.003,0.0
BGD,8.071,10.49,1.799,0.334,0.023
MDG,0.953,1.404,0.197,0.036,0.003
DZA,6.791,7.734,0.782,0.263,0.014
NGA,2.578,3.893,1.843,0.197,0.022
TWN,4.631,5.291,0.659,0.399,0.012
CMR,5.864,9.006,1.71,0.132,0.023
JPN,1.328,1.514,0.82,0.234,0.004
MAR,4.282,4.944,0.73,0.377,0.022
RWA,0.144,0.236,0.617,0.168,0.031
BEL,4.568,4.417,1.12,0.202,0.013
ITA,2.193,1.929,1.314,0.679,0.017
IRL,5.217,4.866,3.013,0.534,0.044
TJK,1.228,2.04,0.619,0.177,0.033
PRT,3.991,4.466,0.823,0.28,0.007
USA,0.036,0.039,0.079,0.039,0.004
IND,4.995,8.4,2.597,0.429,0.019
ESP,3.262,3.383,0.208,0.094,0.002
LBY,15.422,20.217,2.972,0.531,0.091
MYS,0.031,0.041,0.018,0.004,0.0
HRV,1.53,1.543,0.722,0.314,0.009
GEO,1.012,0.85,0.64,0.544,0.121
DOM,6.703,7.668,1.507,0.607,0.028
CZE,2.241,2.128,0.774,0.427,0.015
VEN,11.453,14.224,3.99,1.458,0.072
NPL,2.3,2.382,1.834,0.434,0.018
MEX,14.265,17.704,2.34,0.983,0.042
CHE,1.562,1.915,1.179,0.414,0.024
JOR,5.422,7.232,0.855,0.322,0.022
IRQ,8.141,10.556,6.811,0.147,0.02
IDN,4.587,7.979,2.91,0.174,0.018
BEN,3.678,4.906,1.064,0.131,0.011
TCD,1.488,2.363,0.748,0.085,0.008
BTN,7.908,10.833,0.637,0.124,0.012
KAZ,2.992,4.692,4.032,0.963,0.092
DNK,0.016,0.017,0.011,0.004,0.0
GHA,,11.722,2.656,0.387,0.033
GAB,4.998,7.328,0.796,0.434,0.21
PNG,5.66,6.288,3.734,0.599,0.033
SAU,1.012,1.124,0.058,0.01,0.001
KEN,4.487,6.471,0.996,0.153,0.031
YEM,0.959,1.552,1.529,0.025,0.006
IRN,1.109,1.358,0.208,0.104,0.004
QAT,24.779,32.287,29.271,0.526,0.073
KOR,0.168,0.203,0.039,0.021,0.0
RUS,1.044,0.924,0.382,0.289,0.019
EGY,3.487,3.683,0.899,0.279,0.018
SVK,0.087,0.086,0.036,0.02,0.001
SLV,1.708,2.113,0.214,0.079,0.01
