country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
UKR,0.525,0.307,0.196,0.155,0.045
DEU,2.675,2.374,1.169,0.488,0.013
POL,0.026,0.019,0.014,0.01,0.0
KHM,9.614,11.461,2.241,0.199,0.032
ARG,22.819,27.045,1.111,0.24,0.026
COL,4.77,4.648,0.94,0.398,0.013
MLT,0.131,0.145,0.066,0.016,0.001
THA,7.363,11.505,0.545,0.355,0.018
PAK,0.366,0.754,0.325,0.072,0.022
ARE,13.498,17.245,17.145,0.232,0.056
BFA,2.701,3.816,1.722,0.05,0.018
LUX,8.754,8.893,5.588,2.716,0.091
SYR,5.007,6.859,0.81,0.029,0.027
PAN,0.788,0.962,0.064,0.021,0.003
GBR,0.011,0.012,0.008,0.002,0.0
ARM,0.597,0.397,0.19,0.076,0.002
UZB,6.096,7.421,0.973,0.08,0.018
LBN,0.39,0.551,0.162,0.057,0.003
AUT,1.73,1.424,0.636,0.138,0.007
CUB,0.171,0.203,0.183,0.137,0.009
VNM,5.267,6.438,3.106,1.002,0.033
ZAF,6.392,8.518,0.639,0.15,0.022
PER,2.225,2.373,0.278,0.038,0.004
FIN,0.443,0.427,0.294,0.045,0.003
AFG,0.191,0.262,0.141,0.024,0.002
CHL,0.004,0.005,0.002,0.001,0.0
SDN,7.59,9.615,9.588,0.148,0.046
TZA,0.021,0.052,0.023,0.002,0.001
MDA,9.278,13.285,4.478,1.797,0.079
FRA,0.819,0.682,0.345,0.139,0.004
AZE,4.114,4.315,2.66,1.346,0.058
KGZ,0.99,1.439,0.38,0.111,0.057
SVN,0.042,0.047,0.034,0.013,0.0
GMB,1.54,2.971,1.371,0.062,0.016
GRC,5.944,6.076,1.437,0.516,0.014
MNG,7.565,9.069,0.806,0.279,0.103
NLD,7.973,9.025,0.623,0.203,0.008
LTU,3.92,4.197,0.194,0.119,0.008
ISR,5.047,6.592,0.43,0.247,0.034
LVA,1.775,1.8,0.468,0.3,0.013
TUR,4.333,5.776,0.669,0.343,0.018
OMN,2.022,2.649,2.646,0.086,0.01
FJI,0.047,0.031,0.01,0.004,0.0
ETH,1.391,1.992,0.763,0.073,0.014
ECU,4.466,5.717,0.966,0.135,0.019
CAF,0.827,1.343,0.729,0.052,0.013
AUS,0.034,0.036,0.037,0.012,0.001
NOR,0.427,0.437,0.199,0.028,0.002
CHN,1.239,1.574,0.345,0.154,0.004
HUN,3.134,3.327,0.592,0.148,0.011
BHR,6.627,8.273,1.346,0.223,0.021
BDI,0.004,0.007,0.006,0.012,0.012
PRI,3.471,3.376,1.391,0.96,0.033
VUT,6.754,7.622,4.631,0.244,0.036
CAN,0.318,0.369,0.253,0.071,0.007
MOZ,1.127,1.584,0.715,0.026,0.007
ISL,0.27,0.255,0.179,0.019,0.001
TUN,8.887,11.613,0.816,0.432,0.025
ALB,7.709,8.569,3.884,1.812,0.06
BGR,2.176,2.379,0.866,0.342,0.01
SWE,5.471,6.278,1.941,0.28,0.026
