country,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
Romania,-2027.729512,-2643.620388,1268.549868,9303.805565,518801.1715
Russian Federation,-3413.42172,-3639.043808,18464.31833,30310.93167,740711.8573
Rwanda,8441.42452,3474.598027,457.2329722,4104.220297,26719.17805
Saudi Arabia,20314.0218,14167.75943,757905.5331,4460214.863,60919999.08
Sudan,17.94907743,-240.5009658,-240.7547817,17170.78341,55376.54219
El Salvador,1678.872523,821.4888495,16568.70055,48157.47922,394653.7441
Slovakia,211259.8946,181395.9436,384449.3621,679164.0844,22552120.53
Slovenia,768790.5384,565572.8249,803129.2407,2073392.744,157475863.3
Sweden,-17508.04519,-18705.35939,-3202.632718,144661.0385,1784699.03
Syria,-1141.339026,-1340.612204,-19.4593064,80003.18321,46667.69175
Chad,231.6042158,14.17002066,446.51525,6304.84526,70178.49861
Thailand,-89.03339862,-672.6322483,6683.970775,11217.92819,275309.0918
Tajikistan,1153.910858,38.26125708,1426.416626,8644.586341,41760.73562
Tunisia,-1225.430577,-1279.798858,1730.193636,5553.294535,136078.1702
Turkey,-1122.062778,-2171.852258,12985.38222,31162.06415,694890.36
Taiwan,-11985.4811,-16956.83251,48946.29789,97068.71007,4206537.46
United Republic of Tanzania,43087.71989,10922.87636,28557.97391,311329.2833,1437836.282
Uganda,225.8061236,-56.33426598,4284.679061,36682.65862,75684.54074
Ukraine,13603.01672,19091.01491,33426.48335,45910.26773,109943.5697
United States of America,1377536.23,1245534.444,540585.2036,1089765.387,11326034.81
Uzbekistan,233.214227,-341.9242708,2892.467516,47909.12448,201915.5091
Venezuela,-1364.07155,-1868.11761,-507.3526618,8242.901267,270280.1275
Viet Nam,-68.04214659,-344.2067677,-642.76135,1928.752088,117984.4363
Vanuatu,-505.6341217,-700.1410719,-1464.849846,11388.03442,93280.91066
Yemen,289.9104149,-247.4893918,-242.2484823,22411.36195,99265.70702
South Africa,-1109.855163,-2443.634571,7966.454881,50006.21072,378258.2818
