country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,4.069,4.496,1.781,0.792,0.024
UGA,7.614,11.655,0.558,0.073,0.029
PHL,23.73,31.405,1.284,0.179,0.024
COD,5.732,8.906,1.569,0.011,0.012
BRA,2.299,2.875,0.368,0.217,0.011
EST,5.606,5.686,2.528,0.936,0.065
NZL,0.025,0.027,0.015,0.006,0.0
BGD,16.017,20.816,3.571,0.664,0.046
MDG,1.904,2.805,0.394,0.072,0.005
DZA,13.402,15.263,1.544,0.519,0.027
NGA,5.138,7.757,3.673,0.392,0.044
TWN,9.204,10.515,1.309,0.794,0.024
CMR,11.669,17.921,3.402,0.262,0.046
JPN,2.638,3.008,1.628,0.465,0.008
MAR,8.421,9.724,1.436,0.742,0.043
RWA,0.286,0.469,1.229,0.335,0.062
BEL,9.02,8.721,2.211,0.399,0.027
ITA,4.341,3.819,2.601,1.345,0.034
IRL,10.23,9.542,5.909,1.047,0.086
TJK,2.442,4.057,1.231,0.352,0.065
PRT,7.935,8.879,1.636,0.557,0.015
USA,0.071,0.077,0.155,0.078,0.008
IND,9.906,16.659,5.151,0.851,0.038
ESP,6.473,6.713,0.414,0.188,0.004
LBY,30.413,39.869,5.862,1.048,0.179
MYS,0.06,0.08,0.036,0.008,0.001
HRV,3.043,3.069,1.436,0.625,0.018
GEO,1.997,1.678,1.263,1.074,0.239
DOM,13.198,15.098,2.967,1.194,0.054
CZE,4.452,4.228,1.537,0.848,0.029
VEN,22.271,27.66,7.759,2.835,0.139
NPL,4.569,4.731,3.642,0.863,0.035
MEX,27.955,34.694,4.586,1.927,0.083
CHE,3.068,3.76,2.316,0.813,0.047
JOR,10.578,14.108,1.669,0.628,0.043
IRQ,16.05,20.813,13.428,0.29,0.04
IDN,9.112,15.851,5.781,0.346,0.037
BEN,7.331,9.778,2.121,0.262,0.021
TCD,2.969,4.716,1.494,0.169,0.016
BTN,15.649,21.439,1.26,0.244,0.024
KAZ,5.883,9.226,7.927,1.894,0.182
DNK,0.032,0.034,0.022,0.009,0.0
GHA,,23.287,5.276,0.768,0.066
GAB,9.828,14.409,1.565,0.853,0.413
PNG,11.202,12.445,7.39,1.186,0.064
SAU,2.012,2.235,0.115,0.02,0.002
KEN,8.924,12.87,1.981,0.304,0.062
YEM,1.912,3.094,3.047,0.05,0.012
IRN,2.194,2.686,0.411,0.205,0.008
QAT,49.015,63.866,57.902,1.041,0.145
KOR,0.333,0.404,0.078,0.042,0.001
RUS,2.082,1.843,0.761,0.576,0.038
EGY,6.866,7.251,1.77,0.549,0.035
SVK,0.173,0.17,0.071,0.04,0.001
SLV,3.388,4.191,0.425,0.157,0.019
UKR,1.042,0.609,0.389,0.307,0.09
DEU,5.291,4.696,2.313,0.965,0.026
POL,0.052,0.038,0.028,0.02,0.001
KHM,19.122,22.796,4.457,0.395,0.063
ARG,44.65,52.919,2.174,0.469,0.051
COL,9.437,9.195,1.859,0.787,0.025
MLT,0.26,0.287,0.13,0.032,0.002
THA,14.582,22.786,1.079,0.704,0.035
PAK,0.728,1.501,0.648,0.144,0.043
ARE,26.788,34.223,34.025,0.461,0.112
BFA,5.383,7.604,3.431,0.099,0.035
LUX,17.056,17.328,10.888,5.291,0.177
SYR,9.956,13.638,1.61,0.057,0.054
PAN,1.57,1.916,0.127,0.043,0.006
GBR,0.022,0.024,0.016,0.004,0.0
ARM,1.179,0.784,0.375,0.15,0.005
UZB,12.075,14.7,1.928,0.159,0.036
LBN,0.768,1.085,0.32,0.113,0.005
AUT,3.42,2.814,1.257,0.273,0.014
CUB,0.336,0.4,0.36,0.27,0.018
VNM,10.422,12.741,6.147,1.982,0.066
ZAF,12.608,16.803,1.26,0.295,0.043
PER,4.405,4.697,0.549,0.076,0.008
FIN,0.875,0.844,0.58,0.089,0.005
AFG,0.382,0.523,0.282,0.048,0.003
CHL,0.008,0.01,0.003,0.001,0.0
SDN,14.983,18.98,18.928,0.293,0.09
TZA,0.042,0.105,0.047,0.004,0.001
MDA,18.394,26.34,8.879,3.563,0.156
FRA,1.62,1.35,0.682,0.276,0.008
AZE,8.139,8.538,5.263,2.664,0.114
KGZ,1.968,2.861,0.755,0.22,0.114
