country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
SVN,0.084,0.094,0.067,0.026,0.001
GMB,3.07,5.92,2.733,0.123,0.033
GRC,11.816,12.079,2.857,1.026,0.028
MNG,14.992,17.972,1.597,0.553,0.204
NLD,15.758,17.836,1.231,0.401,0.016
LTU,7.795,8.345,0.386,0.236,0.016
ISR,9.993,13.053,0.851,0.488,0.068
LVA,3.532,3.582,0.932,0.596,0.025
TUR,8.465,11.284,1.307,0.671,0.035
OMN,4.027,5.278,5.272,0.172,0.02
FJI,0.092,0.062,0.019,0.007,0.0
ETH,2.773,3.97,1.52,0.145,0.027
ECU,8.845,11.324,1.914,0.266,0.037
CAF,1.652,2.682,1.457,0.104,0.025
AUS,0.067,0.07,0.073,0.024,0.002
NOR,0.84,0.86,0.391,0.056,0.004
CHN,2.433,3.091,0.677,0.303,0.007
HUN,6.238,6.622,1.178,0.294,0.022
BHR,13.187,16.463,2.678,0.445,0.041
BDI,0.008,0.015,0.012,0.024,0.024
PRI,6.863,6.675,2.751,1.898,0.065
VUT,13.354,15.071,9.156,0.483,0.071
CAN,0.63,0.73,0.5,0.141,0.014
MOZ,2.251,3.162,1.428,0.052,0.014
ISL,0.532,0.503,0.353,0.037,0.002
TUN,17.447,22.8,1.602,0.848,0.05
ALB,15.201,16.897,7.659,3.574,0.118
BGR,4.337,4.741,1.727,0.682,0.02
SWE,10.821,12.416,3.839,0.554,0.051
