country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,3.058,3.38,1.339,0.596,0.018
UGA,5.717,8.751,0.419,0.055,0.022
PHL,17.9,23.689,0.969,0.135,0.018
COD,4.303,6.686,1.178,0.008,0.009
BRA,1.738,2.173,0.278,0.164,0.008
EST,4.217,4.278,1.902,0.704,0.049
NZL,0.019,0.02,0.011,0.004,0.0
BGD,12.06,15.673,2.689,0.5,0.035
MDG,1.429,2.105,0.296,0.054,0.004
DZA,10.118,11.523,1.166,0.392,0.02
NGA,3.86,5.828,2.76,0.295,0.033
TWN,6.925,7.911,0.985,0.597,0.018
CMR,8.774,13.474,2.558,0.197,0.035
JPN,1.985,2.263,1.225,0.35,0.006
MAR,6.368,7.354,1.086,0.561,0.033
RWA,0.215,0.353,0.923,0.252,0.047
BEL,6.808,6.583,1.669,0.301,0.02
ITA,3.273,2.878,1.961,1.014,0.025
IRL,7.748,7.227,4.475,0.793,0.065
TJK,1.836,3.051,0.926,0.265,0.049
PRT,5.969,6.679,1.231,0.419,0.011
USA,0.054,0.058,0.117,0.059,0.006
IND,7.461,12.547,3.879,0.641,0.029
ESP,4.874,5.054,0.311,0.141,0.003
LBY,22.97,30.112,4.427,0.791,0.135
MYS,0.046,0.06,0.027,0.006,0.0
HRV,2.288,2.308,1.08,0.47,0.013
GEO,1.508,1.267,0.953,0.811,0.18
DOM,9.976,11.412,2.243,0.903,0.041
CZE,3.35,3.181,1.157,0.638,0.022
VEN,16.938,21.036,5.901,2.156,0.106
NPL,3.439,3.561,2.741,0.649,0.027
MEX,21.179,26.286,3.474,1.46,0.063
CHE,2.322,2.846,1.753,0.615,0.036
JOR,8.032,10.713,1.267,0.477,0.033
IRQ,12.124,15.721,10.143,0.219,0.03
IDN,6.857,11.928,4.351,0.261,0.028
BEN,5.507,7.346,1.593,0.197,0.016
TCD,2.229,3.541,1.121,0.127,0.012
BTN,11.799,16.164,0.95,0.184,0.018
KAZ,4.45,6.979,5.996,1.433,0.137
DNK,0.024,0.026,0.017,0.007,0.0
GHA,,17.524,3.97,0.578,0.05
GAB,7.434,10.898,1.183,0.645,0.312
PNG,8.446,9.383,5.572,0.894,0.049
SAU,1.514,1.681,0.086,0.015,0.001
KEN,6.712,9.679,1.49,0.229,0.047
YEM,1.436,2.324,2.289,0.038,0.009
IRN,1.655,2.026,0.31,0.155,0.006
QAT,36.964,48.163,43.665,0.785,0.109
KOR,0.251,0.304,0.059,0.032,0.001
RUS,1.564,1.384,0.572,0.432,0.028
EGY,5.19,5.481,1.338,0.415,0.026
