country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
SVK,0.13,0.128,0.053,0.03,0.001
SLV,2.551,3.156,0.32,0.118,0.015
UKR,0.784,0.459,0.293,0.231,0.068
DEU,3.991,3.541,1.744,0.728,0.02
POL,0.039,0.028,0.021,0.015,0.001
KHM,14.381,17.144,3.352,0.297,0.047
ARG,33.854,40.124,1.648,0.356,0.038
COL,7.116,6.934,1.402,0.593,0.019
MLT,0.196,0.216,0.098,0.024,0.001
THA,10.99,17.173,0.813,0.53,0.026
PAK,0.547,1.128,0.487,0.108,0.032
ARE,20.169,25.767,25.618,0.347,0.084
BFA,4.044,5.713,2.578,0.074,0.026
LUX,12.959,13.166,8.273,4.02,0.135
SYR,7.489,10.258,1.211,0.043,0.041
PAN,1.18,1.44,0.095,0.032,0.004
GBR,0.017,0.018,0.012,0.003,0.0
ARM,0.89,0.592,0.283,0.114,0.003
UZB,9.1,11.078,1.453,0.119,0.027
LBN,0.58,0.82,0.242,0.085,0.004
AUT,2.58,2.123,0.948,0.206,0.011
CUB,0.254,0.302,0.272,0.204,0.013
VNM,7.858,9.606,4.635,1.495,0.05
ZAF,9.521,12.689,0.951,0.223,0.032
PER,3.321,3.541,0.414,0.057,0.006
FIN,0.66,0.637,0.438,0.067,0.004
AFG,0.287,0.393,0.212,0.036,0.002
CHL,0.006,0.008,0.002,0.001,0.0
SDN,11.31,14.328,14.289,0.221,0.068
TZA,0.032,0.079,0.035,0.003,0.001
MDA,13.856,19.841,6.688,2.684,0.118
FRA,1.222,1.018,0.515,0.208,0.006
AZE,6.137,6.438,3.968,2.009,0.086
KGZ,1.48,2.152,0.568,0.165,0.086
SVN,0.063,0.071,0.051,0.02,0.0
GMB,2.306,4.448,2.053,0.092,0.025
GRC,8.889,9.087,2.149,0.772,0.021
MNG,11.295,13.541,1.204,0.417,0.154
NLD,11.889,13.457,0.929,0.302,0.012
LTU,5.863,6.277,0.29,0.177,0.012
ISR,7.532,9.839,0.642,0.368,0.051
LVA,2.655,2.693,0.701,0.448,0.019
TUR,6.423,8.562,0.992,0.509,0.026
OMN,3.027,3.966,3.962,0.129,0.015
FJI,0.07,0.047,0.015,0.006,0.0
ETH,2.083,2.983,1.142,0.109,0.02
ECU,6.666,8.534,1.442,0.201,0.028
CAF,1.24,2.013,1.093,0.078,0.019
AUS,0.051,0.053,0.055,0.018,0.002
NOR,0.636,0.65,0.296,0.042,0.003
CHN,1.841,2.339,0.512,0.229,0.005
HUN,4.689,4.978,0.885,0.221,0.016
BHR,9.915,12.378,2.013,0.334,0.031
BDI,0.006,0.011,0.009,0.018,0.018
PRI,5.177,5.035,2.075,1.431,0.049
VUT,10.073,11.367,6.906,0.364,0.054
CAN,0.475,0.551,0.377,0.106,0.01
MOZ,1.69,2.374,1.072,0.039,0.01
ISL,0.402,0.38,0.267,0.028,0.002
TUN,13.207,17.258,1.212,0.642,0.038
ALB,11.481,12.762,5.784,2.7,0.089
BGR,3.259,3.562,1.297,0.512,0.015
SWE,8.161,9.364,2.895,0.418,0.038
