country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,11.987,12.586,5.663,2.064,0.058
UGA,22.63,31.472,1.668,0.162,0.08
PHL,68.089,83.536,3.815,0.372,0.062
COD,17.07,23.324,4.763,0.033,0.035
BRA,6.489,7.384,1.348,0.663,0.031
EST,16.421,16.285,8.629,2.639,0.175
NZL,0.072,0.072,0.048,0.016,0.001
BGD,46.6,56.501,10.77,1.272,0.121
MDG,5.686,7.581,1.18,0.154,0.012
DZA,38.185,40.489,4.835,1.197,0.067
NGA,15.194,20.348,11.393,0.8,0.118
TWN,26.927,30.912,4.096,2.075,0.06
CMR,34.322,46.901,12.326,0.644,0.136
JPN,7.709,8.993,5.791,1.303,0.024
MAR,23.687,25.261,4.959,1.998,0.114
RWA,0.848,1.24,5.022,1.026,0.21
BEL,25.755,24.724,8.858,1.145,0.077
ITA,12.521,11.697,9.343,4.233,0.1
IRL,28.467,26.625,19.504,2.658,0.242
TJK,7.16,11.368,3.891,0.839,0.183
PRT,23.246,24.618,5.354,1.372,0.039
USA,0.2,0.19,0.44,0.2,0.02
IND,28.756,44.549,15.967,1.65,0.098
ESP,18.824,18.708,1.471,0.528,0.011
LBY,86.41,102.134,18.009,2.183,0.481
MYS,0.17,0.195,0.119,0.021,0.002
HRV,8.938,8.734,5.195,1.835,0.052
GEO,5.691,5.266,4.433,3.676,0.724
DOM,37.272,40.302,9.164,3.046,0.135
CZE,13.02,12.854,5.572,2.62,0.083
VEN,60.155,66.629,23.33,6.215,0.339
NPL,13.333,13.184,11.225,2.209,0.094
MEX,77.607,87.056,13.948,4.604,0.199
CHE,8.58,9.122,6.771,1.94,0.121
JOR,28.894,34.482,5.131,1.352,0.108
IRQ,45.558,53.44,38.008,0.629,0.107
IDN,26.612,42.999,18.056,0.702,0.093
BEN,21.697,27.106,6.433,0.518,0.054
TCD,8.835,12.419,4.797,0.354,0.042
BTN,45.05,56.52,3.957,0.538,0.058
KAZ,16.528,24.899,29.481,5.098,0.539
DNK,0.092,0.095,0.075,0.025,0.001
GHA,,69.38,15.721,1.429,0.175
GAB,27.62,36.838,4.77,2.197,1.151
PNG,32.256,33.586,23.071,2.627,0.165
SAU,5.887,6.532,0.433,0.058,0.005
KEN,26.186,34.012,6.113,0.632,0.165
YEM,5.663,6.889,6.829,0.105,0.035
IRN,6.306,7.743,1.425,0.579,0.022
QAT,140.877,166.1,155.798,2.186,0.411
KOR,0.975,1.19,0.33,0.143,0.003
RUS,6.177,5.722,2.842,1.982,0.111
EGY,19.395,19.224,6.401,1.397,0.095
SVK,0.509,0.535,0.28,0.138,0.004
SLV,9.839,11.03,1.955,0.563,0.071
UKR,3.021,2.213,1.552,1.118,0.265
DEU,15.205,13.975,8.681,3.037,0.078
POL,0.152,0.131,0.108,0.074,0.003
KHM,56.13,60.821,13.7,0.81,0.167
ARG,123.273,134.471,6.1,0.951,0.124
COL,27.138,26.151,7.048,2.481,0.074
MLT,0.756,0.822,0.465,0.093,0.006
THA,42.104,61.15,3.366,1.843,0.091
PAK,2.14,4.404,2.117,0.347,0.124
ARE,77.949,91.102,90.765,1.031,0.315
BFA,15.92,20.447,10.675,0.22,0.098
LUX,46.383,46.69,34.195,14.189,0.458
SYR,29.194,35.047,6.091,0.168,0.158
PAN,4.642,5.183,0.478,0.118,0.016
GBR,0.065,0.064,0.05,0.011,0.001
ARM,3.356,2.665,1.494,0.506,0.015
UZB,34.886,43.628,5.899,0.338,0.097
LBN,2.178,2.783,1.114,0.287,0.015
