country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
AUT,9.803,8.825,5.018,0.874,0.046
CUB,0.945,1.041,1.379,0.927,0.057
VNM,30.001,33.881,19.761,4.85,0.169
ZAF,35.86,44.861,3.743,0.644,0.106
PER,12.695,13.169,2.156,0.227,0.025
FIN,2.511,2.51,1.999,0.255,0.015
AFG,1.135,1.472,0.988,0.124,0.009
CHL,0.023,0.027,0.011,0.003,0.0
SDN,42.732,49.292,49.208,0.685,0.253
TZA,0.125,0.318,0.163,0.01,0.003
MDA,53.336,64.381,28.1,8.04,0.411
FRA,4.667,4.296,2.669,0.903,0.026
AZE,23.413,24.135,18.834,7.91,0.332
KGZ,5.775,8.448,2.524,0.611,0.332
SVN,0.244,0.264,0.22,0.073,0.002
GMB,9.077,14.209,8.098,0.254,0.087
GRC,34.608,34.223,9.217,2.367,0.076
MNG,43.389,50.375,4.716,1.369,0.579
NLD,45.14,47.655,4.442,0.96,0.041
LTU,22.857,23.266,1.131,0.571,0.043
ISR,28.827,33.713,2.725,1.2,0.183
LVA,10.397,10.424,3.501,1.903,0.07
TUR,23.235,27.964,4.182,1.652,0.091
OMN,11.893,14.025,14.015,0.386,0.057
FJI,0.267,0.202,0.083,0.025,0.001
ETH,8.203,10.467,5.36,0.356,0.078
ECU,25.548,28.509,6.996,0.62,0.1
CAF,4.931,6.87,4.432,0.225,0.071
AUS,0.192,0.187,0.201,0.056,0.006
NOR,2.364,2.42,1.44,0.154,0.012
CHN,6.813,8.494,2.592,0.92,0.022
HUN,18.375,18.451,4.423,0.781,0.064
BHR,38.78,44.909,8.693,0.927,0.11
BDI,0.024,0.04,0.035,0.076,0.072
PRI,19.693,19.242,9.385,5.794,0.173
VUT,38.326,40.163,28.762,1.019,0.181
CAN,1.813,1.866,1.56,0.367,0.038
MOZ,6.714,8.655,4.387,0.105,0.035
ISL,1.517,1.505,1.213,0.107,0.007
TUN,48.761,57.717,4.979,2.033,0.124
ALB,43.186,45.308,24.054,8.922,0.294
BGR,12.83,13.253,5.825,1.745,0.052
SWE,31.079,33.011,12.969,1.266,0.134
